74,Bystraja District__Phonetic recordings__VIA__VIA-2009__VI_Axmetova_322_407.eaf,units,"3 повторяет слово + 3 раза ""би говаттэм ... эрэгэр"""
75,Bystraja District__Phonetic recordings__VIA__VIA-2009__VI_Axmetova_additional_accent.eaf,units,"3 повторяет слово + 3 раза ""би говаттэм ... эрэгэр"""
76,Bystraja District__Phonetic recordings__VIA__VIA-2011__VI_Axmetova_perception_list_1.eaf,units,"1 повторяет слово + 1 раз ""бу ... говатту"""
77,Bystraja District__Phonetic recordings__VIA__VIA-2011__VI_Axmetova_perception_list_2.eaf,units,"1 повторяет слово + 1 раз ""бу ... говатту"""
78,Bystraja District__Phonetic recordings__VIA__VIA-2011__VI_Axmetova_perception_list_3.eaf,units,нет разметки
79,Bystraja District__Procedural texts__Axmetova_VI_scraping_fur__Axmetova_VI_pyzhik_LZ_RM.eaf,"id, tx (латиница)",
80,Sebjan-Küöl__Conversations__RDA_TPK_birth__RDA_TPK_birth.eaf,"id, tx (латиница)",
81,Sebjan-Küöl__Conversations__RDA_TPK_death__RDA_TPK_death.eaf,"id, tx (латиница)",
82,Sebjan-Küöl__Conversations__RDA_TPK_delburge__RDA_TPK_delburge.eaf,"id, tx (латиница)",
83,Sebjan-Küöl__Conversations__RDA_TPK_hongachan_baldarakan__RDA_TPK_hongachan_baldarakan.eaf,"id, tx (латиница)",
84,Sebjan-Küöl__Conversations__RDA_TPK_names_origins__RDA_TPK_names_origins.eaf,"id, tx (латиница)",
85,Sebjan-Küöl__Conversations__RDA_TPK_spirits__RDA_TPK_spirits.eaf,"id, tx (латиница)",
86,Sebjan-Küöl__Explanatory materials__Daily life__Krivoshapkin_SP_oxota__Krivoshapkin_SP_oxota_260210_Sebjan.eaf,"id, tx (латиница)",
87,Sebjan-Küöl__Explanatory materials__Social Organization__Burtsev_ID_traditions__Burtsev_ID_traditions_040310.eaf,"id, tx (латиница)",
88,Sebjan-Küöl__Explanatory materials__Social Organization__Kirillina_KK_history__Kirillina_KK_history_210310_Sebjan.eaf,"id, tx (латиница)",
